"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SG_02_FUNDR_EVNT_1_NAME","SG_02_FUNDR_EVNT_REV_GRORCPT_1","SG_02_FUNDR_EVNT_REV_GRO_1","GrossReceiptsTotalAmt","GrossRevenueTotalEventsAmt","NetIncomeSummaryAmt","SG_02_FUNDR_EVNT_2_NAME","SG_02_FUNDR_EVNT_REV_GRORCPT_2","SG_02_FUNDR_EVNT_REV_GRO_2","SG_02_FUNDR_EVNT_REV_CONTR_1","SG_02_FUNDR_EVNT_EXP_OTH_1","SG_02_FUNDR_EVNT_REV_CONTR_2","SG_02_FUNDR_EVNT_EXP_OTH_2","SG_02_FUNDR_EVNT_OTH_TOT_NUM","SG_02_FUNDR_EVNT_REV_GRORCPT_OTH","SG_02_FUNDR_EVNT_REV_CONTR_OTH","SG_02_FUNDR_EVNT_REV_GRO_OTH","SG_02_FUNDR_EVNT_EXP_OTH_OTH","CharitableContributionsTotAmt","OthDirectExpnssTotalEventsAmt","DirectExpenseSummaryEventsAmt","SG_02_FUNDR_EVNT_EXP_FOOD_1","SG_02_FUNDR_EVNT_EXP_ENTMT_1","SG_02_FUNDR_EVNT_EXP_FOOD_2","SG_02_FUNDR_EVNT_EXP_FOOD_OTH","FoodAndBeverageTotalEventsAmt","EntertainmentTotalEventsAmt","SG_02_FUNDR_EVNT_EXP_RENT_1","RentFcltyCostsTotalEventsAmt","SG_02_FUNDR_EVNT_EXP_ENTMT_2","SG_02_FUNDR_EVNT_EXP_ENTMT_OTH","SG_02_FUNDR_EVNT_EXP_RENT_2","SG_02_FUNDR_EVNT_EXP_NONCSH_OTH","SG_02_FUNDR_EVNT_EXP_RENT_OTH","NonCashPrizesTotalEventsAmt","CashPrizesTotalEventsAmt","SG_02_FUNDR_EVNT_EXP_NONCSH_1","SG_02_FUNDR_EVNT_EXP_NONCSH_2","SG_02_FUNDR_EVNT_EXP_CASH_1","SG_02_FUNDR_EVNT_EXP_CASH_2","SG_02_FUNDR_EVNT_EXP_CASH_OTH"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942879349301859","396108549","RIVEREDGE NATURE CENTER INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942879349301859_public.xml","FARM DINNER","86826","70426","165973","142973","61176","RIVER VALLEY BI","41802","35552","16400","24347","6250","13192","3","37345","350","36995","7482","23000","45021","81797","14388","400","3162","5260","22810","13966",NA,NA,"625","12941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921639349301022","060662195","CENTRAL CONNECTICUT COAST YOUNG MEN'S CHRISTIAN ASSOCIATION INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921639349301022_public.xml","ALPHA WALK","118507","65242","345301","213447","119941","SOUNDVIEW GOLF","44970","29820","53265","3764","15150","2927","6","181824","63439","118385","31363","131854","38054","93506",NA,NA,"6825","30349","37174","300",NA,"17285",NA,"300","12585","693","4700","693",NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931439349300228","363973645","Friends of Strays Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931439349300228_public.xml","Fundraising income","32483","32483","32483","32483","22063","Fundraising expenses",NA,NA,NA,"10420",NA,NA,NA,NA,NA,NA,NA,NA,"10420","10420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913379349300966","300857937","DARBY RODEO ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913379349300966_public.xml","RODEO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922499349301462","680414934","SHERIFF'S CHARITIES INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922499349301462_public.xml","GOLF TOURNAMENT","67540","67540","232036","232036","107308","SHERIFF'S BALL","133496","133496",NA,"35692",NA,"52871","2","31000",NA,"31000","36165",NA,"124728","124728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201932889349300223","330380021","ROYAL FAMILY KIDS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201932889349300223_public.xml","BANQUETS/EVENTS","98121","98121","98121","98121","61408",NA,NA,NA,NA,"36713",NA,NA,NA,NA,NA,NA,NA,NA,"36713","36713",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902539349200340","237449303","BARREN SPRINGS VOL FIRE DEPT INC","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902539349200340_public.xml","FISH FRY GOLF T GU","25565","25565","25565","25565","11850",NA,NA,"0",NA,"13715",NA,NA,NA,NA,NA,"0",NA,"0","13715","13715",NA,NA,NA,NA,"0","0",NA,"0",NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933199349315818","521396159","LONDON TOWN FOUNDATION INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933199349315818_public.xml","ANNUAL GALA","41715","3556","41715","3556","-7468",NA,NA,NA,"38159","7693",NA,NA,NA,NA,NA,NA,NA,"38159","7693","11024","2931","400",NA,NA,"2931","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201912919349300226","470826512","HOPE CENTER FOR KIDS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201912919349300226_public.xml","GALA","360795","49470","464836","73666","-29210","GOLF TOURNAMENT","57400","13367","311325","6016","44033","580","1","46641","35812","10829","6155","391170","12751","102876","34165",NA,"0","6194","40359",NA,"31079","49766",NA,NA,"17952",NA,"735",NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931339349305223","251531554","BLUE KNOB VOLUNTEER FIRE COMPANY INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931339349305223_public.xml","FUNDRAISING","66529","66529","66529","66529","46796",NA,NA,NA,NA,"19733",NA,NA,NA,NA,NA,NA,NA,NA,"19733","19733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201912739349300951","592994198","NAVY LEAGUE OF THE UNITED STATES","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201912739349300951_public.xml","WOUNDED WARFIGHTER","50149","23948","83083","47667","1","ANNUAL GOLF TOURNAMENT","25486","17829","26201","17561","7657","6597","1","7448","1558","5890","5889","35416","30047","47666",NA,NA,NA,NA,NA,NA,"652","11519",NA,NA,"10867",NA,NA,"6100",NA,"5735","365",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201900829349200300","203544431","Alumni Turf Group Inc","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201900829349200300_public.xml",NA,"182449","182449","182449","182449","64922",NA,NA,NA,NA,"117527",NA,NA,NA,NA,NA,NA,NA,NA,"117527","117527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942829349200744","951404374","La Crescenta Womans Club","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942829349200744_public.xml","AUTHORS","8438","8438","15672","15672","15672","FASHION SHOW","7234","7234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202040589349200239","846047990","PTA Colorado Congress","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202040589349200239_public.xml","Steck Elementary Auction","119423","98308","119423","98308","71747",NA,NA,NA,"21115","7281",NA,NA,NA,NA,NA,NA,NA,"21115","7281","26561","19280","0",NA,"0","19280","0","0","0",NA,"0",NA,NA,NA,"0","0","0",NA,"0",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942069349300509","421224601","FELLOWSHIP VILLAGE","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942069349300509_public.xml","GRILLING FUNDRA","16002","16002","16002","16002","13477",NA,NA,NA,NA,"2525",NA,NA,NA,NA,NA,NA,NA,NA,"2525","2525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202130479349301108","134010455","ASCENT FUNDING ORGANIZATION INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202130479349301108_public.xml","GOLF OUTING","108749","108749","194284","194284","114992","GALA EVENT","85535","85535",NA,NA,NA,"1029",NA,NA,NA,NA,NA,NA,"1029","79292",NA,NA,NA,NA,NA,"695","49108","75938","695",NA,"26830",NA,NA,"1630",NA,"1630",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020519349301007","841558631","Pulmonary Fibrosis Foundation","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020519349301007_public.xml","PFF Walks","730910",NA,"1142622","44650","-466743","Broadway Belts","411712","44650","730910","276905","367062","165980","0",NA,NA,NA,NA,"1097972","442885","511393","2757","3159","61526",NA,"64283","4225",NA,NA,"1066",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913169349306611","262266013","DWANKHOZI HOPE","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913169349306611_public.xml","BUILDING HOPE","35290",NA,"35290",NA,"-8456",NA,NA,NA,"35290","8456",NA,NA,NA,NA,NA,NA,NA,"35290","8456","8456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349201503","222886733","New Jersey Association Of Fire","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349201503_public.xml","Golf Outing","56254","56254","56254","56254","20177",NA,NA,NA,NA,"36077",NA,NA,NA,NA,NA,NA,NA,NA,"36077","36077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941349349304719","310644244","ROSS COUNTY HUMANE SOCIETY INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941349349304719_public.xml","CAR SHOW/CONCERT - BARK IN THE PARK","21056","21056","41464","41464","13236","COSTUME PARTY - HOWL AT THE MOON","11734","11734",NA,"15122",NA,"2849",NA,"8674",NA,"8674","10257",NA,"28228","28228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000449349301830","930800692","Direction Service","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000449349301830_public.xml","Annual Gala","19073","10258","19073","10258","3034",NA,NA,NA,"8815","934",NA,NA,NA,NA,NA,NA,NA,"8815","934","7224","3945",NA,NA,NA,"3945",NA,"2345","2345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202010949349301126","592274451","VINCEREMOS RIDING CENTER INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202010949349301126_public.xml","ANNUAL AUCTION","583273","401450","616929","401450","252674","OTHER EVENTS","33656",NA,"181823","30013","33656","30327",NA,NA,NA,NA,NA,"215479","60340","148776","62121","5300",NA,NA,"62121","5300","21015","21015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901789349300910","200106847","COMMON THREADS","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901789349300910_public.xml","CHICAGO COOK-OFF","76562","76562","119864","119864","59767","CHEF TAKEOVER SERIES","39292","39292",NA,"27350",NA,"29474","2","4010",NA,"4010","3273",NA,"60097","60097",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931659349200413","223316648","NATIONAL ASSOCIATION OF ORTHOPAEDIC","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931659349200413_public.xml","ELECTRONIC RAFFLE/HEALTH WALK",NA,NA,NA,NA,NA,"ANNUAL CONGRESS FUNDRAISER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911359349306146","821370182","Fearlessly Girl USA Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911359349306146_public.xml","Gala","85150","85150","85275","85275","44902","Tennis Event","125","125",NA,"40373",NA,NA,NA,NA,NA,NA,NA,NA,"40373","40373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923119349302297","113066597","SOCRATES SCULPTURE PARK INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923119349302297_public.xml","ANNUAL GALA","435015","56840","435015","56840","0",NA,NA,NA,"378175",NA,NA,NA,NA,NA,NA,NA,NA,"378175",NA,"56840","33702","3000",NA,NA,"33702","3000","20138","20138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923189349200027","813521520","NEW BRAUNFELS FIRE FIGHTERS CHARITIES","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923189349200027_public.xml","Golf Tournament","17432","17432","17432","17432","1956",NA,NA,NA,NA,"12763",NA,NA,NA,NA,NA,NA,NA,NA,"12763","15476","175","400",NA,NA,"175","400","1015","1015",NA,NA,NA,NA,NA,"923","200","923",NA,"200",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913179349306776","930664038","ROSEBURG ROD & GUN CLUB","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913179349306776_public.xml","GUN SHOW EVENT","62695","62695","62695","62695","37430",NA,NA,NA,NA,"25265",NA,NA,NA,NA,NA,NA,NA,NA,"25265","25265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902189349200420","471169085","HUDSON RAIDAIRES BOOSTERS INC","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902189349200420_public.xml","PUNCH CARDS",NA,NA,NA,NA,NA,"TSHIRT SALES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202011209349301781","770050319","PROJECT HIRED INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202011209349301781_public.xml","ADOBE DIVERSITY IN ACTION","17086","2482","22286","2617","0","GET HIRED JOB FAIR","5200","135","14604","788","5065",NA,NA,NA,NA,NA,NA,"19669","788","2617","1694",NA,"135",NA,"1829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201932709349301303","061036715","CORNERSTONE FAMILY HEALTHCARE","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201932709349301303_public.xml","PILLARS GALA","209840","58625","302164","81825","-29604","GOLF OUTING","92324","23200","151215","10549","69124","4100",NA,NA,NA,NA,NA,"220339","14649","111429","249","6710","56",NA,"305","6710","53175","75858","0",NA,"22683",NA,NA,"13907",NA,"8234","5673",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901279349200815","261647338","ON YOUR FEET FOUNDATION NORTHERN CALIFORNIA","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901279349200815_public.xml","Gala dinner","87533","15300","96733","24500","2451","Auction","9200","9200","72233","1870","0","9200",NA,NA,NA,NA,NA,"72233","11070","22049","7279",NA,NA,NA,"7279",NA,"3700","3700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903089349301365","464952479","MARIANNA OUTDOORSMEN ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903089349301365_public.xml","CANOE RACE","42903","14853","48028","17933","-9428","GOLF OUTING","5125","3080","28050","25500","2045","1861",NA,NA,NA,NA,NA,"30095","27361","27361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020489349200737","770134703","Scotts Valley Little League","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020489349200737_public.xml","Hit-A-Thon","30828","30828","47752","47752","22549","Snack Bar","16924","16924",NA,"5286",NA,"3411",NA,NA,NA,NA,NA,NA,"8697","25203",NA,NA,"16506",NA,"16506",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202001569349300205","042970982","GREATER SPRINGFIELD HABITAT FOR","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202001569349300205_public.xml","VARIOUS","73519","46723","73519","46723","38764",NA,NA,NA,"26796","7959",NA,NA,NA,NA,NA,NA,NA,"26796","7959","7959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903159349200535","223267207","FAIRFIELD POLICE EXPLORERS","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903159349200535_public.xml","SHRED DAY","5044","5044","5044","5044","4938",NA,NA,NA,"0","106",NA,NA,NA,NA,NA,NA,NA,NA,"106","106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933049349300223","911939910","Urban ArtWorks","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933049349300223_public.xml","Brushed Up","58762","15519","74860","15519","-8652","Reel Event","10000",NA,"43243","8652","10000",NA,"1","6098","6098",NA,NA,"59341","8652","24171","13229",NA,NA,NA,"13229",NA,"2290","2290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941309349200544","274596269","LUCAS COUNTY PIT CREW","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941309349200544_public.xml","PUTTIN'ON GLITZ","26263","26263","36837","36837","27953","RUN FOR BULLS","8164","8164",NA,"149",NA,"350",NA,"2410",NA,NA,NA,NA,"499","8884",NA,NA,"14",NA,"14",NA,"7762","8371",NA,NA,"264",NA,"345",NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041929349300449","680243040","Court Appointed Special Advocate","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041929349300449_public.xml","Big Night Dinner","71273","71273","141086","141086","141086","Kids Walk","69813","69813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
